username,userid,profile_location,created_at,text,retweet_count,source,coordinates
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,1/20/2023 21:38,@HouseGOP @RepWesleyHunt You are very excited to pretend that interdiction of illegal crossings wasn't better under… https://t.co/T1wVv6EaDX,0,Twitter for Android,
Carly Shay,1.53244E+18,"Seattle, WA",1/20/2023 21:37,Voting for donald trump next election. Say goodbye to all the fatties and twinks in this country.,0,"Cheap Bots, Done Quick!",
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 21:35,"@TheGussReport @TheLeoTerrell @Mike_Feuer @RepAdamSchiff @ericgarcetti What a LOSER!!!!
https://t.co/9l6xPFaz0T",0,Twitter Web App,
Jest Wondering,212803894,"Seattle, WA",1/20/2023 21:32,"@EliseStefanik Yes, and see if any GOP folks went through. 
Also, release transcripts of all of Trump's calls to Pu… https://t.co/6dY6LGw1jD",0,Twitter Web App,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,1/20/2023 21:26,"@Jim_Jordan For the record, nobody said there would be zero inflation; they said that the IRA would reduce it, and… https://t.co/lPL26BqE1Z",0,Twitter for Android,
The Huntinator,1.42733E+18,"Seattle, WA",1/20/2023 21:21,@christina_bobb I don’t like losers like Trump. I like winners,0,Twitter for iPhone,
James Frame,1.32438E+18,"Seattle, WA",1/20/2023 21:19,"@GOPChairwoman and @GOP, will you be paying tRump's $1 Million for his frivolous lawsuit? https://t.co/rtvQQz79Nd",0,Twitter for Android,
John F McBride,2167072310,"Seattle, WA",1/20/2023 21:19,"@jward5505 @BillKristol 14 months carrying a radio in Vietnam; 65 wounded, 13 dead, suicides since. Nobody talked a… https://t.co/4bMTsoTV2B",0,Twitter for iPhone,
Everyone knows it!,719294731,"Seattle, WA",1/20/2023 21:18,@HouseGOP @SpeakerMcCarthy Your Republican Trump made it worse and you went along with it. Now the Republicans don'… https://t.co/iEA91znHTi,0,Twitter for Android,
David Roberts,22737278,"Seattle, WA",1/20/2023 21:17,"I can't believe I'm saying this, but Trump's political instincts are much better than his party's here. The GOP has… https://t.co/OOUAv9WTtf",6,Twitter for Android,
The Elegant Fool,1.09576E+18,"Seattle, WA",1/20/2023 21:15,@GrahamAllen_1 Like how the Trump administration held off on aid to blue states hoping their voting base would die off?,0,Twitter Web App,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 21:15,"@realstewpeters Nothing is funnier than Trump running scared!
https://t.co/9l6xPFaz0T",0,Twitter Web App,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 21:14,"@realstewpeters HAHA! Trump is such a scared LOSER! Look at him run!!
https://t.co/8Qw2NjzRLS",0,Twitter Web App,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 21:12,"@FoxNews Trump is a loser and quitter! LOL!
https://t.co/8Qw2NjzRLS",0,Twitter Web App,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 21:12,"@FoxNews What a LOSER!
https://t.co/OytL3swF3S",0,Twitter Web App,
Cynethryth,8.77361E+17,"Seattle, WA",1/20/2023 21:10,"""Nothing can stop what's coming!"" - the right wingnuts keep touting.

Well, we now know what's coming. 
And they we… https://t.co/BLn6oMw82u",2,Twitter Web App,
James Pro-Choice Bonz,22228174,Bellevue Washington,1/20/2023 21:07,(87) Trump Makes DERANGED Video of Himself DEMANDING he not be PROSECUTED - YouTube https://t.co/hCi6iTmpjs,0,Twitter Web App,
The Huntinator,1.42733E+18,"Seattle, WA",1/20/2023 21:07,"@BWater56 @EndWokeness I didn’t say Trump was a Nazi, I said he counts on their votes. You know, the basket of depl… https://t.co/056zK8iSO2",0,Twitter for iPhone,
Cynethryth,8.77361E+17,"Seattle, WA",1/20/2023 21:07,"Today is a very good day.
Donald Loser Trump must pay the legal fees for Hillary Clinton and Peter Strzok in the ""i… https://t.co/6KRagdbjL5",0,Twitter Web App,
Trev Albertsen,1.35476E+18,"Bothell, WA",1/20/2023 21:07,@robreiner @robreiner is probably on #JeffreyEpsteins list.  He knows if Trump gets back in office that list will b… https://t.co/MD7vkCZGMj,0,Twitter for iPhone,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 21:06,"@TheLeoTerrell Trump is WEAK and SCARED! 
https://t.co/OytL3swF3S",0,Twitter Web App,
Rob Christ 🇺🇦🇺🇸,281164125,"Edmonds, Washington",1/20/2023 21:06,"@johnrobertsFox If it’s Trump, we won’t have free and fair elections again.",0,Twitter for iPhone,
STEVE JET CITY,438872143,Seattle WA USA,1/20/2023 21:05,Didn't Trump threaten to dump a lot of classified info on people lately? Michel Cohen said Trump might use the docu… https://t.co/YwaNpIqsLw,0,Twitter Web App,
Art Hall ,2590275270,"Seattle, WA",1/20/2023 21:03,"@MuellerSheWrote In other words, Donald Trump and the @HouseGOP members are current subjects of the DOJ investigati… https://t.co/apJobH7fbj",0,Twitter for iPhone,
Tad Kosewicz,1.59984E+18,"Seattle, WA",1/20/2023 21:03,"Sins for an American normie (surely White sheep)⤵️

#FreedomFriday #FreedomOfSpeech  ""Letitia James"" ""Judge Middleb… https://t.co/7TaDBqo8Is",0,Twitter Web App,
k2westlake,2379783936,"Seattle, WA",1/20/2023 20:57,@TheRichFromCali Will draining Trump financially hurt him at all?,0,Twitter for Android,
TFG is Guilty AF,22534829,"Seattle, WA",1/20/2023 20:57,@CokoGay For Trump it’s always = n+1,0,Twitter for iPhone,
M3 Sweatt,15965271,"Redmond, WA",1/20/2023 20:52,"@getwired Wait until they find out about Regan’s initiative to distribute American Cheese, and the support the last… https://t.co/Dc7qeS3Q3G",0,Twitter for iPhone,
tweldon,14946552,"Bothell, WA",1/20/2023 20:50,I just signed a @commoncause petition: Twitter &amp; Facebook must combat disinformation -- and hold Donald Trump to th… https://t.co/lefzRaAvb7,0,Twitter Web App,
Tad Kosewicz,1.59984E+18,"Seattle, WA",1/20/2023 20:49,"A sample of American #DissidentRight's ""wheezedom""⤵️

#FreedomFriday #FreedomOfSpeech  ""Letitia James"" ""Judge Middl… https://t.co/k7cV9kwtnW",0,Twitter Web App,
man with giant cock,3192673533,"Seattle, WA, ",1/20/2023 20:48,CNBC: Trump drops lawsuit against New York AG after judge in case sanctions him almost $1 million for Clinton suit.… https://t.co/UDsbIyZl0b,0,Twitter for Android,
man with giant cock,3192673533,"Seattle, WA, ",1/20/2023 20:48,"The Associated Press - en Español: 3 active-duty Marines charged in Jan. 6 Capitol riot.
https://t.co/0g5nWJUlHB

via @GoogleNews",0,Twitter for Android,
GollumGarland,1.22303E+18,"Seattle, WA",1/20/2023 20:48,@robreiner Trump is all powerful.  Only Trump can stop democracy.  I just want to know what little girls you sample… https://t.co/H5T55Sn7I0,0,Twitter Web App,
Tempest WolfSong,2331525133,"Seattle, WA",1/20/2023 20:42,@Bonnies10111985 @ericareport @HillaryClinton @realDonaldTrump So.... your horrific indictment of Hillary is... she… https://t.co/b5GdvPYUns,0,Twitter for iPhone,
Michael B,23518824,"Seattle, Washington",1/20/2023 20:41,"@mfstern Here is a stupid &amp; fallacious argument.  One that, if the logic were to be generally applied (including th… https://t.co/IPYdEzVrNH",0,Twitter Web App,
jennifer s.🏳️‍🌈🐕🤓🌎🎭,9.54164E+17,"Seattle, WA",1/20/2023 20:40,@laurenboebert Recall how high &amp; how fast trump raised ours.,0,Twitter for iPhone,
The Huntinator,1.42733E+18,"Seattle, WA",1/20/2023 20:36,@BWater56 @EndWokeness Obama gave Ukraine $600 million in security aid to Ukraine. Trump held aid to Ukraine hostag… https://t.co/Fq1I4o5gnn,0,Twitter for iPhone,
virtuosobob,383560270,Seattle,1/20/2023 20:34,@infamous_ga6 @RubinsBlockList @NickyFrank30 Lot of white dudes of a certain age were Bernie/Trump voters. Misogyny… https://t.co/kyNXqbEcCC,0,Twitter for iPhone,
Shelliebean,1.18491E+18,"Seattle, WA",1/20/2023 20:30,"@Dandydinmore @MeghanMcCain Hey, they will overlook any of their prejudices if they have to. The end always justifi… https://t.co/RuAE2rWac9",0,Twitter Web App,
Tad Kosewicz,1.59984E+18,"Seattle, WA",1/20/2023 20:29,"The American Left is already fascist
The American Right is getting there

It will look like this⤵️

""Letitia James""… https://t.co/pPDlRoqAUg",0,Twitter Web App,
HeyZel,1.37079E+18,"Seattle, WA",1/20/2023 20:26,@baker_hrolyn @WalkerStalker18 #MeghanMarkle wanted to be Queen B and that's not how the Monarchy works. She thinks… https://t.co/HHiSkBo5IT,0,Twitter Web App,
John 'Eric' Taylor 🌻 🇺🇸🇩🇪🇨🇿🇺🇦,9.76185E+17,"Seattle, WA",1/20/2023 20:24,"Thought Trump liked golden showers, too. https://t.co/849uTlIzKm",0,Twitter for Android,
Shelliebean,1.18491E+18,"Seattle, WA",1/20/2023 20:20,"@EliseStefanik Perhaps if the R's would stay within the law, they wouldn't BE subjects of investigations. I am so s… https://t.co/FJ2O3ueuyE",0,Twitter Web App,
Leann 🇺🇦,309938512,"Seattle, WA",1/20/2023 20:19,"@laurenboebert Get your facts straight, Lauren. 25% of the current debt was during the Trump years. This is not fut… https://t.co/JFTZ27PRND",0,Twitter for iPhone,
Tad Kosewicz,1.59984E+18,"Seattle, WA",1/20/2023 20:19,"Oh Commie Seattle
Oh Commie Seattle
How Red Thou Art

""Letitia James"" ""Judge Middlebrooks"" “Alex Jones” “Mr. Trump”… https://t.co/9BmtKNaAIt",0,Twitter Web App,
Shelliebean,1.18491E+18,"Seattle, WA",1/20/2023 20:15,@Yolanda60642416 @DCroosman Ingraham...wasn't she more worried about what would happen to Trump's legacy than she w… https://t.co/cmEySmzNpv,0,Twitter Web App,
Art Hall ,2590275270,"Seattle, WA",1/20/2023 20:15,"@PamelaHensley22 Yes, and expose Donald Trump and @AlanDersh! https://t.co/CVTMfeFmQL",0,Twitter for iPhone,
Little Jon still resists!,2309619386,Seattle,1/20/2023 20:12,"@RNCResearch Remember when trump explained water pressure? Or windmills? Yeah, that was fun watching you guys bite that.",0,Twitter for iPad,
KScores,36134023,Seattle ,1/20/2023 20:04,"@ElunMask23 @GregAbbott_TX Just the drop in unemployment, biden/2.8 Trump/8.4",0,Twitter Web App,
SRip,1954299660,"Seattle, WA",1/20/2023 20:04,"@ChiaInTheWeeds @realTuckFrumper I mean, let’s be honest, Mrs. Trump is no “breakfast taco”.

It’s pretty rich for… https://t.co/KEsaEMCRkF",0,Twitter for iPhone,
As I see it,31460348,"Seattle, WA",1/20/2023 19:53,"@MyLiberaOpinion @BaddCompani This is Michael Flynn and Erik Prince, the start of the whole Trump/Putin debacle.",1,Twitter Web App,
Art Hall ,2590275270,"Seattle, WA",1/20/2023 19:48,@DonaldJTrumpJr How many audits did @DeptofDefense complete under Donald Trump's Presidency? What was the percent a… https://t.co/3E52maXjoS,0,Twitter for iPhone,
Krystian,2167528201,"Seattle, WA",1/20/2023 19:46,"@DonaldJTrumpJr Donald Trump has lost billions, we know that from his multitude of bankruptcies.",0,Twitter for iPhone,
Art Hall ,2590275270,"Seattle, WA",1/20/2023 19:46,@marklevinshow The deficit is bipartisan! Trump is responsible for 33% of the current debt with just 4 years in off… https://t.co/xlMmRCW7ei,0,Twitter for iPhone,
Steven Chappell,67146174,"Seattle, WA",1/20/2023 19:42,@blaurent71 @CraigHildebrand @CFHeather @Reginanazarkew1 @TimRunsHisMouth @RepAdamSchiff They cuts began expiring i… https://t.co/zGp9awpLmb,0,Twitter for Android,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 19:42,"@FoxNews Cry harder, #MAGA losers! LOLOLOLOLOL!
https://t.co/T78HRkj9bm",0,Twitter Web App,
Ann Nordland 🌻🇺🇦⚖️🇺🇸,31325937,"East of Seattle, WA",1/20/2023 19:42,"@KrauseForIowa Thanks, Donald Trump!",1,TweetDeck,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 19:41,"@FoxNews Trump is SCARED! LOL!
https://t.co/8Qw2NjzjWk",0,Twitter Web App,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 19:41,"@FoxNews Keep sending this LOSER your money, LOSERS! LOL!
https://t.co/xRk1dRegai",0,Twitter Web App,
gray,1.58593E+18,"Seattle, WA",1/20/2023 19:39,@The_Trump_Train Yes and let’s get rid of Rhonna at the same time,0,Twitter for iPhone,
AlexJones'Nudes,1.53434E+18,Seattle,1/20/2023 19:31,"@FoxNews Hey #MAGA dopes - never forget Hannity lied to you for YEARS!
https://t.co/JlFM7kCM0I",0,Twitter Web App,
Tad Kosewicz,1.59984E+18,"Seattle, WA",1/20/2023 19:30,"Oh Commie Seattle
Oh Commie Seattle
How Red Thou Art

""Letitia James"" ""Judge Middlebrooks"" “Alex Jones” “Mr. Trump”… https://t.co/mR7TvE2b5m",0,Twitter Web App,
JakeMusc 🌎,1.55527E+18,"Bothell, WA",1/20/2023 19:30,@politvidchannel Trump is a perverter of the judicial process for strategic abuse of political &amp; business adversari… https://t.co/6waaM7wqFI,0,Twitter for iPhone,
John 'Eric' Taylor 🌻 🇺🇸🇩🇪🇨🇿🇺🇦,9.76185E+17,"Seattle, WA",1/20/2023 19:29,"Under four years of Trump, the national debt rose by $7.8 trillion, primarily because of his tax cuts for the rich! https://t.co/x12t0gtwNo",0,Twitter for Android,
Alejandro is fully-vaccinated!!!,9.07666E+17,"Seattle, WA",1/20/2023 19:28,@KevinMKruse Gym and trump Jr are the ones I usually get that what I’m locked on following.,0,Twitter for iPhone,
Hawktimistic Salmon,1.28419E+18,"Seattle, WA",1/20/2023 19:28,@KrisKeith71 @The_Trump_Train You'd need to earn credits from the local utility provider from summer kws you banked… https://t.co/QXtoUgg8R6,0,Twitter Web App,
Tad Kosewicz,1.59984E+18,"Seattle, WA",1/20/2023 19:26,"What #BenShapiro does for the Jews - I do for the #WhitePeople. Fair deal, no?

""Letitia James"" ""Judge Middlebrooks… https://t.co/4jYRPbefWm",0,Twitter Web App,
Agent Double-O-Deuce-Nine-Block,1.46915E+18,"Burien, WA",1/20/2023 19:25,"@elonmusk @CommunityNotes How do you feel about bannon, trump and watkins weaponizing your nft to steal an election… https://t.co/qR0UzRmDKj",0,Twitter for Android,
Ufuk Ince 🌻 🇺🇦 🕊,2179436198,"Seattle, WA",1/20/2023 19:24,@stillgray Amazing &amp; selfless public servant having saved millions of lives from the incompetence of Trump clownshi… https://t.co/LRiv3qpapJ,0,Twitter for iPhone,
Tad Kosewicz,1.59984E+18,"Seattle, WA",1/20/2023 19:22,"The American Left is already fascist
The American Right is getting there

""Letitia James"" ""Judge Middlebrooks"" “Ale… https://t.co/zrlJ6QRywd",0,Twitter Web App,
Art Hall ,2590275270,"Seattle, WA",1/20/2023 19:22,@JudicialWatch @TomFitton @JudicialWatch? More like Judicial Farce! @TomFitton is a criminal accomplice if Donald T… https://t.co/b0lSi3Bdt7,0,Twitter for iPhone,
Agent Double-O-Deuce-Nine-Block,1.46915E+18,"Burien, WA",1/20/2023 19:20,"@elonmusk @CommunityNotes Trump was quote tweeting watkins who was none other than ""Q"" of the infamous domestic ter… https://t.co/SknnyNBuzD",0,Twitter for Android,
Esther Chan,55424697,"Bellevue, WA",1/20/2023 19:17,@FreeBeacon This woman is so corrupted that Trump left office with less worth of his asset,0,Twitter for iPhone,
Holly Christianson,267976215,"Seattle, WA",1/20/2023 19:17,@laurenboebert 25% of that debt was created under the Trump administration.,0,Twitter for iPhone,
Chosen One 🇺🇦+🇺🇸,17127559,"Redmond, WA",1/20/2023 19:16,@HouseAgGOP @HouseGOP @POTUS Joe Biden is drilling a million barrels of oil more than Trump did. If that’s an assau… https://t.co/uUXYOjq1al,0,Twitter for iPhone,
Jason,760768328,Sammamish,1/20/2023 19:16,"@DonaldJTrumpJr @realDonaldTrump We need to be very cautious,  any time we creat a void the Russians and China are… https://t.co/mHNk1B6c2A",0,Twitter for iPhone,
jamesrussbell,28583025,"seattle,washington",1/20/2023 19:15,@KariLake Loser Kari lost and bitterly refuses to concede.Arizona voters  rejected her. She had her chance in court… https://t.co/w3cEkHwOjJ,1,Twitter for iPad,
Agent Double-O-Deuce-Nine-Block,1.46915E+18,"Burien, WA",1/20/2023 19:15,@elonmusk @CommunityNotes When will you do the twatter files on Steve bannon setting up Ron Watkins with a program… https://t.co/NftepHo6VQ,0,Twitter for Android,
big dogg,1.24218E+18,,1/20/2023 19:13,@laurenboebert 25% of that was due to Donald Trump and his four year catastrophe. Joe Biden is already paying it do… https://t.co/ml4b272pGp,0,Twitter for iPhone,
Andrew Smith,2873901,"Seattle, WA",1/20/2023 19:13,"@AdamLZucker Subscribed! For your convenience, we've also followed Jordan Peterson for you based on your interest in Donald Trump.",0,Twitter Web App,
Rotten Robbie,111101761,North of Seattle ,1/20/2023 19:11,"Judge: .....Trump = ""The mastermind of strategic abuse of the US legal system"" ⬇️

I'd post his photo.. but I reall… https://t.co/Rk0KHlyV1h",0,Twitter Web App,
SlugtalesNews 🇺🇦,1413427614,"Seattle, Washington",1/20/2023 19:08,@charliekirk11 Trump lost 3 million jobs during his term and you still wanted him re-elected...  that's 60 times as… https://t.co/qqah26nVsj,0,Twitter Web App,
Alvin Vigil,1365086845,"Seattle, WA",1/20/2023 19:03,@ACTBrigitte Donald Trump should be behind bars. There I fixed it for you.,0,Twitter for iPhone,
Joanie Vee,9.42047E+17,"Seattle, WA",1/20/2023 19:03,"@alegalnerd Thanks for clarification. It’s an uncomfortable place for Garland indeed. 

My take-Garland knows decli… https://t.co/LfLyOpzYVr",0,Twitter for iPhone,
Jwax,292095770,"Seattle, WA",1/20/2023 19:03,"@laurenboebert You do realize Trump added 40% of this in 4 years, right Lauren?",0,Twitter for iPhone,
The Elegant Fool,1.09576E+18,"Seattle, WA",1/20/2023 19:02,@laurenboebert Trump tax cuts.,0,Twitter Web App,
FOX 13 Seattle,17070252,Seattle,1/20/2023 19:00,"Judge fines Trump, lawyer for 'frivolous' Clinton lawsuit #FOX13 https://t.co/DN0pbBo1wi",0,True Anthem,
Sam Puckett,1.53243E+18,"Seattle, WA",1/20/2023 18:57,Voting for donald trump next election. Say goodbye to all the fatties and twinks in this country.,0,"Cheap Bots, Done Quick!",
Rotten Robbie,111101761,North of Seattle ,1/20/2023 18:57,Judge Middlebrooks served a dose of financial reality to Trump...which caused him to drop a suit against Letitia Ja… https://t.co/cgnlqqJGZj,10,Twitter Web App,
JakeMusc 🌎,1.55527E+18,"Bothell, WA",1/20/2023 18:48,@MadScientistFF Wearing Anything with the name Trump.,0,Twitter for iPhone,
Hyster Prynne🇺🇸,1.58029E+18,Seattle ,1/20/2023 18:48,@AdamSchiff Dude you're a liar. We all know it. Where is all that irrefutable proof you said you had on Trump and R… https://t.co/OuAjQgPApQ,2,Twitter Web App,
jamesrussbell,28583025,"seattle,washington",1/20/2023 18:44,@HouseGOP @RepArrington Republicans who under trump blew up the deficit by trillions? Every Republican president si… https://t.co/UfzUKOHxJh,0,Twitter for iPad,
jbeans,27763797,Seattle,1/20/2023 18:43,@tedcruz Now do Trump,0,Twitter for Android,
ButchOSUbeaver,2829987380,"Seattle, WA",1/20/2023 18:40,"@joshuamking I presume that various appeals and challenges to this will drag it out until after Trump dies?
It feel… https://t.co/AgCJFW7zXi",0,Twitter for iPhone,
John B. Cucco,24948343,"Lynnwood, WA",1/20/2023 18:39,"@WalshFreedom I agree, @WalshFreedom, but can't see him ever getting convicted. It only takes a single trump suppor… https://t.co/iYrTPMMQnl",0,Twitter Web App,
Randy Winn,6701212,"Mercer Island, WA, USA",1/20/2023 18:36,#Trump and his #MAGA lawyer get a HUGE penalty for frivolous Clinton lawsuit. Huge!!!! https://t.co/actzmMUlQe via @Yahoo,0,Twitter Web App,
Mary Dietz,1.51848E+18,Seattle. WA,1/20/2023 18:36,"@HouseGOP @SpeakerMcCarthy So you will decline the 30,000 salary increase you are getting? Will you reverse the 201… https://t.co/d5N8fGsFn3",0,Twitter Web App,
jamesrussbell,28583025,"seattle,washington",1/20/2023 18:36,@CharlesGlenn38 Trump fits the bill as the devil’s tool. It’s just like him to divide people for his own agenda. Li… https://t.co/8fm9LZq0nc,0,Twitter for iPad,
Kim Logan 🇺🇦,18685355,"Seattle, WA",1/20/2023 18:32,"“You know how we keep laughing that Trump has to pay up for filing that bullshit lawsuit? Well he has to pay $172,0… https://t.co/LDwHUOZoQL",0,Twitter for Mac,
Steve Markel,1291653398,"Seattle, WA",1/20/2023 18:28,@RepMTG Trump did it and you helped.,0,Twitter Web App,
Loopdawg,1.27113E+18,Seattle,1/20/2023 18:27,@MAGAIncWarRoom @DiamondandSilk So exited to be there to see President Trump! This is gonna be an awesome rally. Ho… https://t.co/CuGXCNNw9B,0,Twitter for iPhone,
jim.j🇺🇸🏴󠁧󠁢󠁳󠁣󠁴󠁿 #JusticeMatters 👨🏼‍⚖️⚖️,1.2602E+18,"Seattle, WA",1/20/2023 18:27,"Another week just about done and still no Trump indictments ! Special Counsel Jack Smith, AG Garland &amp; DOJ - wtf ar… https://t.co/4PEKgOFmyZ",8,Twitter for iPad,
Daniel Cross,44980320,Seattle,1/20/2023 18:21,"@RepMTG You are a tool.   Your blinders were hard shut on your eyes during the dark Trump years, it seems...",0,Twitter Web App,
Marco @madeingermany@mas.to,2212231,"Seattle, WA, USA",1/20/2023 18:19,"@Deviantbreed89 @Imafrayedknot1 @JamesHu29812484 @Shess1016 You mean, Trump?",0,Twitter for Android,
The Food-Minded Mama,60953649,"Seattle, WA",1/20/2023 18:17,@prettytukis @townhallcom Trump's going to Prison.,0,Twitter Web App,
